"Daily Weather Observations for Gladstone, Queensland for July 2015",,,,,,,,,,,,,,,,,,,,,
Prepared at 13:05 GMT on Saturday 11 June 2016   IDCJDW4049.201507,,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Gladstone Radar {station 039123},,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
39123,7/1/2015,16,25.5,0,,,S,26,23:13,18.7,75,,SW,7,1024.3,22.6,61,,ENE,13,1020.2
39123,7/2/2015,13.6,23.7,0,,,SW,33,4:25,16.1,69,,SW,7,1022.5,23,35,,S,9,1018.1
39123,7/3/2015,9.4,19.7,0,,,SSW,41,6:03,12,57,,SSW,17,1021.5,18.7,42,,SSE,17,1019.1
39123,7/4/2015,12,23.3,0,,,SE,37,10:47,17.2,67,,SSE,15,1022,21.6,51,,E,22,1019.1
39123,7/5/2015,16.2,24.4,0,,,SE,31,9:44,20.1,70,,SE,13,1022.3,21.7,59,,ENE,20,1019.4
39123,7/6/2015,13.7,24.8,0,,,SSE,20,0:02,18.5,74,,SE,4,1020.1,23.1,40,,ENE,13,1016.5
39123,7/7/2015,14.8,25.9,0,,,ENE,20,13:22,17.6,75,,WSW,6,1019,24.1,45,,ENE,13,1015.9
39123,7/8/2015,14.4,23.3,0,,,SSE,39,23:52,17.7,54,,SE,19,1021.8,22.5,48,,E,22,1019.7
39123,7/9/2015,15.2,22.8,0,,,ESE,59,11:35,17.7,70,,SE,22,1024.4,20.7,54,,ESE,35,1022.4
39123,7/10/2015,15.7,22.4,0,,,E,39,14:10,18.6,68,,SE,20,1023.5,20.6,65,,E,20,1019.6
39123,7/11/2015,15.2,23.7,0,,,ESE,37,15:47,18.9,83,,SE,9,1019.7,21.1,83,,ENE,11,1015.6
39123,7/12/2015,14.7,21.5,6.6,,,SSW,30,9:15,16.5,78,,SW,15,1017.3,20.9,32,,WSW,11,1013.4
39123,7/13/2015,9,19.8,0,,,SSW,37,9:50,12.5,46,,WSW,11,1020.8,19,27,,WSW,13,1015.7
39123,7/14/2015,8.8,22.4,0,,,WSW,26,15:32,12.7,53,,SSW,13,1020.3,21.9,23,,WSW,11,1016.1
39123,7/15/2015,10.8,22.1,0,,,NNE,28,13:43,14.4,52,,E,7,1020.5,19.4,45,,NE,15,1016.9
39123,7/16/2015,12.2,22.8,0,,,NE,24,15:17,15.8,67,,WSW,7,1019.3,20.5,52,,NE,13,1015.2
39123,7/17/2015,8,20.1,0,,,SW,39,9:30,11.1,49,,WSW,11,1021.1,19.9,27,,WSW,11,1017.7
39123,7/18/2015,8.7,20.7,0,,,SSE,30,23:56,11.6,55,,SW,11,1023.6,18.6,44,,NE,11,1020.9
39123,7/19/2015,9.1,22.2,0,,,SE,48,16:19,14,64,,SW,4,1025.1,20.1,53,,ESE,24,1022.7
39123,7/20/2015,14,22,0,,,ESE,52,15:50,17.7,64,,SE,28,1025.9,20.8,49,,ESE,31,1023.6
39123,7/21/2015,14.5,21.1,1,,,SE,44,11:51,16.6,84,,SSE,20,1026.7,20.3,66,,ESE,19,1024.9
39123,7/22/2015,15.5,24,1.2,,,SE,39,12:15,19.1,77,,SE,19,1025.7,22.1,70,,E,28,1022.3
39123,7/23/2015,17.4,23.5,0,,,E,39,9:42,17.8,94,,ESE,19,1024.1,22.6,65,,ENE,13,1021
39123,7/24/2015,16.8,26.2,0,,,ENE,26,13:36,21.5,79,,E,7,1022.1,21.2,82,,NE,11,1018.4
39123,7/25/2015,18.1,26.2,0,,,SE,26,9:26,19.6,94,,SE,17,1022.8,22.9,65,,NE,7,1019.8
39123,7/26/2015,16.5,26.7,0,,,NNW,24,10:51,20.2,90,,W,6,1022.4,26.3,64,,NE,7,1017.9
39123,7/27/2015,18.2,27.3,0,,,SSW,33,23:28,20.9,78,,S,7,1024.6,24.8,50,,ENE,15,1020.2
39123,7/28/2015,12,23.8,0,,,ESE,46,18:15,13.8,50,,SW,13,1028,22.7,44,,ENE,20,1024.8
39123,7/29/2015,13.9,24.1,0,,,ESE,48,11:53,18.2,51,,SE,20,1029.3,22,50,,E,26,1025.1
39123,7/30/2015,14.7,24.4,0,,,SE,41,8:24,18.8,56,,SE,24,1026,22.4,55,,ENE,24,1022.5
39123,7/31/2015,13.9,25.2,0,,,SSE,28,0:42,20,64,,SE,13,1024,23.6,36,,NE,11,1020.5
